desc,url,geonames,wikidata
Line6: https://unlockingarchives.com/relaciones/place/iguala | Mexico (country)| Guerrero (state)| Iguala 18.345113 -99.54047,https://unlockingarchives.com/relaciones/place/iguala,8581975,Q2466669
Line7: https://unlockingarchives.com/relaciones/place/texcoco Mexico (country)| Mexico (state)| Texcoco 19.514571 -98.882750,https://unlockingarchives.com/relaciones/place/texcoco,8379483,Q2115196
Line8: https://unlockingarchives.com/relaciones/place/sanfranciscocozoaltepec | Mexico (country)| Oaxaca (state)| San Francisco Cozoaltepec 15.8122 -96.7222,https://unlockingarchives.com/relaciones/place/sanfranciscocozoaltepec,3800596,
Line9: https://unlockingarchives.com/relaciones/place/hueytlalpan Mexico (country)| Puebla (state)| Hueytlalpan 20.026808 -97.69674,https://unlockingarchives.com/relaciones/place/hueytlalpan,3526925,Q27769229
Line10: https://unlockingarchives.com/relaciones/place/hueytlalpan Mexico (country)| Puebla (state)| Hueytlalpan 20.026808 -97.696745,https://unlockingarchives.com/relaciones/place/hueytlalpan,,
Line11: https://unlockingarchives.com/relaciones/place/sanbartolomemilpasaltas | Guatemala (country)| Sacatepéquez (state)| San Bartolomé Milpas Altas 14.6082 -90.679,https://unlockingarchives.com/relaciones/place/sanbartolomemilpasaltas,3590392,Q2401093
Line12: https://unlockingarchives.com/relaciones/place/patzcuaro Mexico (country)| Michoacán (state)| Pátzcuaro 19.513479 -101.60919,https://unlockingarchives.com/relaciones/place/patzcuaro,3993179,Q1021051
Line13: https://unlockingarchives.com/relaciones/place/santiagoquiotepec | Mexico (country)| Oaxaca (state)| Santiago Quiotepec 17.900164 -96.98287,https://unlockingarchives.com/relaciones/place/santiagoquiotepec,3762697,
Line14: https://unlockingarchives.com/relaciones/place/santamariatecomavaca | Mexico (country)| Oaxaca (state)| Santa María Tecomavaca 17.956073 -97.024119,https://unlockingarchives.com/relaciones/place/santamariatecomavaca,8582906,Q3892619
Line15: https://unlockingarchives.com/relaciones/place/atengo Mexico (country)| Hidalgo (state)| Atengo 20.176589 -99.33234,https://unlockingarchives.com/relaciones/place/atengo,8582113,Q3316715
Line16: https://unlockingarchives.com/relaciones/place/chila | Mexico (country)| Puebla (state)| Chila 17.970267 -97.86080,https://unlockingarchives.com/relaciones/place/chila,8583099,
Line20: https://unlockingarchives.com/relaciones/place/sansebastianriohondo Mexico (country)| Oaxaca (state)| San Sebastián Río Hondo 16.182693 -96.46417,https://unlockingarchives.com/relaciones/place/sansebastianriohondo,8582821,Q4967862
Line21: https://unlockingarchives.com/relaciones/place/santiagoatitlan Guatemala (country)| Sololá (state)| Santiago Atitlán 14.638588 -91.22988,https://unlockingarchives.com/relaciones/place/santiagoatitlan,3589104,Q168622
Line22: https://unlockingarchives.com/relaciones/place/ameca Mexico (country)| Jalisco (state)| Ameca 20.547647 -104.04662,https://unlockingarchives.com/relaciones/place/ameca,8582108,Q2842525
Line23: https://unlockingarchives.com/relaciones/place/heroicaveracruz Mexico (country)| Veracruz (state)| Heroica Veracruz 19.200268 -96.138515,https://unlockingarchives.com/relaciones/place/heroicaveracruz,3514783,Q173270
Line24: https://unlockingarchives.com/relaciones/place/sanfranciscozapotitlan | Guatemala (country)| Suchitepéquez (state)| San Francisco Zapotitlán 14.5897 -91.5257,https://unlockingarchives.com/relaciones/place/sanfranciscozapotitlan,3590196,Q2608452
Line25: https://unlockingarchives.com/relaciones/place/iztapalapa Mexico (country)| Mexico (state)| Iztapalapa 19.360932 -99.092485,https://unlockingarchives.com/relaciones/place/iztapalapa,3526683,Q741771
